open,high,low,close,volume,vwap,timestamp,transactions,date,time,ema_5,ema_10,ema_20,atr,upper_band,lower_band,previous,change,average_20_change,put_setup,call_setup,call_buy,call_sell,put_buy,put_sell,call_prices,put_prices
396.55,396.6,396.49,396.6,2051.0,396.5202,2023-01-12 12:54:00+00:00,25,2023-01-12,12:54:00,396.4695508754663,396.40922840179127,396.33441290133567,0.0620117761690063,396.5824600060117,396.08636579665966,396.45,0.0378357926598648,0.0054250624268972,True,False,False,False,True,False,0.0,2.96
396.66,396.69,395.4104,396.67,54208.0,396.3459,2023-01-12 13:00:00+00:00,491,2023-01-12,13:00:00,396.6149811468174,396.5538220422984,396.4582733471309,0.1345990773788446,396.9966696566463,395.9198770376155,396.67,0.0,0.0054248672080227,True,False,False,False,False,True,0.0,2.94
393.99,394.57,392.0,393.57,630714.0,393.5699,2023-01-12 13:30:00+00:00,3890,2023-01-12,13:30:00,395.32015272128666,396.0682568509539,396.4792386304246,0.5065743184135023,398.5055359040786,394.4529413567706,393.99,-0.1066016903982375,-0.0404188967266098,False,True,True,False,False,False,4.96,0.0
395.09,396.25,394.81,396.05,181423.0,395.4219,2023-01-12 13:34:00+00:00,1330,2023-01-12,13:34:00,395.1910178214888,395.46479975405424,395.95195704236176,0.6669770734372873,398.6198653361109,393.28404874861263,395.02,0.2607462913270289,-0.0102411510840154,False,True,False,True,False,False,4.712,0.0
396.31,396.31,396.24,396.27,1877.0,396.2792,2023-01-13 11:29:00+00:00,15,2023-01-13,11:29:00,396.40388001419865,396.5028250357135,396.6236611024698,0.0878010597097536,396.9748653413088,396.2724568636308,396.36,-0.0227066303360661,-0.0064289762860706,False,True,True,False,False,False,2.94,0.0
396.01,396.26,396.01,396.19,14178.0,396.1153,2023-01-13 11:46:00+00:00,68,2023-01-13,11:46:00,396.02621914107266,395.9912914919085,396.0869741600597,0.1181801089049924,396.5596945956796,395.61425372443966,396.04,0.0378749621250321,-0.0045356951724076,False,False,False,True,False,False,2.7929999999999997,0.0
394.92,394.92,394.81,394.83,5410.0,394.8744,2023-01-13 12:23:00+00:00,62,2023-01-13,12:23:00,395.0396095125948,395.19454072584745,395.35419314620253,0.1277122123242618,395.8650419954995,394.8433442969055,394.95,-0.0303835928598568,-0.0112530467936202,False,True,True,False,False,False,4.05,0.0
395.65,397.1504,393.45,393.72,89996.0,394.6099,2023-01-13 13:00:00+00:00,806,2023-01-13,13:00:00,393.5825241129598,393.63208383917834,393.8001470168398,0.3241630288780896,395.09679913235215,392.50349490132743,393.5,0.0559085133418112,-0.0067217849843938,False,True,False,True,False,False,4.93,0.0
393.62,394.135,393.6,394.09,611436.0,393.8472,2023-01-13 14:30:00+00:00,5011,2023-01-13,14:30:00,393.728791561138,393.56649703092376,393.4345675702925,0.1603741056858572,394.0760639930359,392.793071147549,393.64,0.1143176506452567,0.01283797806316,True,False,False,False,True,False,0.0,1.98
393.85,394.135,393.7,394.12,153317.0,393.9307,2023-01-13 14:36:00+00:00,1427,2023-01-13,14:36:00,394.0095054319793,393.8920859901584,393.7036569170319,0.2367247621809125,394.65055596575553,392.7567578683082,393.865,0.0647429956964938,0.0106797192750185,True,False,False,False,False,True,0.0,2.05
